logged_at,candle_time,symbol,open,high,low,close,ma_20,ma_50,rsi_14,atr_14,adx_14,h1_trend,m5_trend,spread_points,candle_range,candle_body,bot_signal,bot_decision,bot_blockers,your_decision,your_reason,entry_price,stop_loss,take_profit,trade_result
2026-09-10 01:00:25,2026-09-09 20:45:00,XAUUSD,4413.59,4416.85,4413.34,4415.95,4411.24,4404.66,56.61,10.51,18.04,DOWNTREND,UPTREND,29.0,3.51,2.36,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 01:15:27,2026-09-09 21:00:00,XAUUSD,4415.96,4421.48,4415.77,4420.34,4411.59,4405.16,59.35,10.17,17.56,DOWNTREND,UPTREND,36.0,5.71,4.38,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 01:30:28,2026-09-09 21:15:00,XAUUSD,4420.34,4420.66,4416.7,4417.91,4411.01,4405.54,57.2,9.72,17.11,DOWNTREND,UPTREND,27.0,3.96,2.43,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 01:45:10,2026-09-09 21:30:00,XAUUSD,4417.95,4418.29,4409.48,4409.8,4410.64,4405.71,50.59,9.66,15.95,DOWNTREND,UPTREND,23.0,8.81,8.15,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 02:00:12,2026-09-09 21:45:00,XAUUSD,4409.83,4410.06,4401.67,4403.07,4410.04,4405.81,45.85,9.57,15.67,DOWNTREND,UPTREND,35.0,8.39,6.76,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 02:15:13,2026-09-09 22:00:00,XAUUSD,4403.06,4404.11,4396.87,4400.19,4408.88,4405.81,43.95,9.4,15.85,DOWNTREND,UPTREND,30.0,7.24,2.87,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 02:30:15,2026-09-09 22:15:00,XAUUSD,4400.18,4404.79,4398.55,4399.54,4407.57,4405.79,43.52,9.18,15.92,DOWNTREND,UPTREND,38.0,6.24,0.64,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 02:45:16,2026-09-09 22:30:00,XAUUSD,4399.54,4400.88,4395.6,4399.82,4406.61,4405.66,43.78,8.9,16.27,DOWNTREND,DOWNTREND,32.0,5.28,0.28,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 03:00:18,2026-09-09 22:45:00,XAUUSD,4399.82,4401.48,4396.3,4399.14,4405.64,4405.48,43.26,8.63,16.5,DOWNTREND,DOWNTREND,32.0,5.18,0.68,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 03:15:19,2026-09-09 23:00:00,XAUUSD,4399.12,4399.32,4396.37,4397.23,4406.01,4405.22,41.76,8.23,16.72,DOWNTREND,DOWNTREND,33.0,2.95,1.89,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 03:30:22,2026-09-09 23:15:00,XAUUSD,4397.22,4397.43,4393.48,4394.73,4406.02,4404.93,39.81,7.92,17.23,DOWNTREND,DOWNTREND,38.0,3.95,2.49,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 03:45:23,2026-09-09 23:30:00,XAUUSD,4394.76,4400.86,4394.69,4400.12,4405.88,4404.86,45.69,7.8,17.14,DOWNTREND,DOWNTREND,34.0,6.17,5.36,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 05:05:27,2026-09-09 23:45:00,XAUUSD,4400.11,4400.82,4399.17,4400.08,4405.97,4404.87,45.65,7.36,17.05,DOWNTREND,DOWNTREND,45.0,1.65,0.03,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 05:15:28,2026-09-10 01:00:00,XAUUSD,4404.76,4406.04,4402.6,4402.89,4406.22,4404.93,48.68,7.26,16.13,DOWNTREND,DOWNTREND,45.0,3.44,1.87,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 05:30:30,2026-09-10 01:15:00,XAUUSD,4402.86,4404.34,4400.22,4402.32,4406.25,4404.97,48.09,7.03,15.6,DOWNTREND,DOWNTREND,45.0,4.12,0.54,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 05:45:31,2026-09-10 01:30:00,XAUUSD,4402.28,4403.7,4399.9,4401.36,4405.96,4405.02,47.07,6.8,15.15,DOWNTREND,DOWNTREND,45.0,3.8,0.92,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 06:00:03,2026-09-10 01:45:00,XAUUSD,4401.38,4401.63,4397.7,4399.55,4405.46,4405.05,45.11,6.6,15.05,UPTREND,DOWNTREND,45.0,3.93,1.83,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 06:15:05,2026-09-10 02:00:00,XAUUSD,4399.54,4403.01,4398.42,4400.61,4404.65,4405.13,46.51,6.45,14.7,UPTREND,DOWNTREND,39.0,4.59,1.07,SELL,SKIP,เทรนด์ H1; ความแรงเทรนด์ ADX,,,,,,
2026-09-10 06:30:06,2026-09-10 02:15:00,XAUUSD,4400.46,4402.21,4395.8,4397.59,4403.79,4405.27,43.14,6.45,14.76,UPTREND,DOWNTREND,39.0,6.41,2.87,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 06:45:08,2026-09-10 02:30:00,XAUUSD,4397.51,4399.2,4393.32,4394.36,4402.83,4405.34,39.81,6.41,15.17,UPTREND,DOWNTREND,39.0,5.88,3.15,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 07:00:07,2026-09-10 02:45:00,XAUUSD,4394.37,4395.26,4393.16,4394.11,4401.74,4405.33,39.55,6.1,15.57,UPTREND,DOWNTREND,39.0,2.1,0.26,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 07:15:09,2026-09-10 03:00:00,XAUUSD,4394.16,4397.01,4389.72,4394.95,4400.47,4405.34,40.92,6.19,16.42,UPTREND,DOWNTREND,39.0,7.29,0.79,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 07:30:10,2026-09-10 03:15:00,XAUUSD,4394.96,4398.39,4392.17,4392.8,4399.21,4405.2,38.52,6.19,16.89,UPTREND,DOWNTREND,39.0,6.22,2.16,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 07:45:12,2026-09-10 03:30:00,XAUUSD,4392.78,4401.49,4391.39,4400.87,4398.77,4405.15,50.3,6.47,16.63,UPTREND,DOWNTREND,39.0,10.1,8.09,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 08:00:13,2026-09-10 03:45:00,XAUUSD,4400.91,4404.77,4397.84,4401.04,4398.66,4405.0,50.52,6.5,15.72,UPTREND,DOWNTREND,39.0,6.93,0.13,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 08:15:15,2026-09-10 04:00:00,XAUUSD,4401.02,4418.92,4400.22,4412.74,4399.29,4405.15,62.54,7.37,16.38,UPTREND,DOWNTREND,39.0,18.7,11.72,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 08:30:16,2026-09-10 04:15:00,XAUUSD,4412.75,4416.54,4410.3,4410.38,4399.83,4405.21,59.41,7.29,16.99,UPTREND,UPTREND,39.0,6.24,2.37,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 08:45:18,2026-09-10 04:30:00,XAUUSD,4410.43,4410.95,4405.2,4409.92,4400.34,4405.42,58.79,7.18,16.63,UPTREND,UPTREND,39.0,5.75,0.51,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 09:00:20,2026-09-10 04:45:00,XAUUSD,4409.91,4414.37,4407.96,4412.09,4400.99,4405.79,60.86,7.13,16.73,UPTREND,UPTREND,39.0,6.41,2.18,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
